canonical_smiles,molecule_chembl_id,standard_value,value
COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,CHEMBL292323,100000.0,100.0
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,CHEMBL304414,100000.0,100.0
CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,CHEMBL62176,100000.0,100.0
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccnc3n2C)c(C(=O)Nc2ccccc2)c2cccnc21,CHEMBL62701,25000.0,25.0
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137617,70.0,0.07
CC(=O)N(C)/N=N/c1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL153577,578.0,0.578
CN(CO)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL152448,110.0,0.11
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL137189,200.0,0.2
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL52765,40.0,0.04
CC(=O)OCN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL152922,130.0,0.13
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,CHEMBL7917,100.0,0.1
O=c1c(-c2cccc(Cl)c2)coc2cc(O)cc(O)c12,CHEMBL7827,16000.0,16.0
COc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,CHEMBL440453,11400.0,11.4
COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(CCc3ccccc3)c2c1,CHEMBL7810,4930.0,4.93
COc1cc(OC)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,CHEMBL7981,46200.0,46.2
COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,CHEMBL7866,9550.0,9.55
COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(C)c2c1,CHEMBL7819,2830.0,2.83
